# Donnees Temperature / Voltage (calibré),pour V :  écart type =5.035871324805669 et moyenne = 220.79999999999995
-242.02,210.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,210.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,210.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,210.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,210.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,210.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,210.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,210.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,230.00
-242.02,220.00
-242.02,220.00
-242.02,220.00
-242.02,210.00
-242.02,220.00
